日期	时间	实际功率(MW)	可用功率(MW)	场站短期预测(MW)	场站名称	出清曲线	A2子站可用功率(MW)	A3子站可用功率(MW)	辐照度
2026/1/30	10:45:00	17.88	17.95	13.36	派岸光伏电站	21	18.68	18.74	
2026/1/30	11:00:00	14.59	14.74	14.92	派岸光伏电站	29.09	18.99	19.58	
2026/1/30	11:15:00	21.02	20.22	19.4	派岸光伏电站	19.67	19.67	19.92	
2026/1/30	11:30:00	17.02	29.72	24.94	派岸光伏电站	16.95	16.95	20.57	
2026/1/30	11:45:00	20.68	21	28.65	派岸光伏电站	23.52	23.53	19.86	
2026/1/30	12:00:00	18.4	18.5	25.93	派岸光伏电站	32.67	21.79	25.16	
2026/1/30	12:15:00	12	20.82	28.91	派岸光伏电站	11.99	23.98	23.24	
2026/1/30	12:30:00	23	34.24	26.86	派岸光伏电站	22.63	22.63	26.39	
2026/1/30	12:45:00	24.86	29.31	30.16	派岸光伏电站	25.93	18.37	25.38	
2026/1/30	13:00:00	36.87	37.95	29.67	派岸光伏电站	38.81	29.19	22.45	
2026/1/30	13:15:00	31.01	30.27	33.03	派岸光伏电站	30.1	26.31	27.15	
2026/1/30	13:30:00	27.65	28.01	32.56	派岸光伏电站	34.12	34.12	26.07	
2026/1/30	13:45:00	31.13	43.69	33.53	派岸光伏电站	29.76	29.76	34.09	
2026/1/30	14:00:00	26	45.74	32.13	派岸光伏电站	25.25	25.25	26.78	
2026/1/30	14:15:00	35.4	35.8	29.83	派岸光伏电站	39.03	27.35	25.74	
2026/1/30	14:30:00	31.91	32.17	28.73	派岸光伏电站	44.43	27.44	28.35	
2026/1/30	14:45:00	32.07	32.53	28.62	派岸光伏电站	38.94	38.95	31.04	
2026/1/30	15:00:00	32.99	37.66	27.18	派岸光伏电站	33.03	33.03	36.54	
2026/1/30	15:15:00	26.97	38.07	26.55	派岸光伏电站	25.71	25.71	34.69	
2026/1/30	15:30:00	26.02	43	25.56	派岸光伏电站	27.04	23.99	22.09	
2026/1/30	15:45:00	25.75	32.46	23.88	派岸光伏电站	26.26	18.02	24.09	
2026/1/30	16:00:00	30.82	31.36	23.62	派岸光伏电站	32.23	20.62	17.72	
2026/1/30	16:15:00	25	30.95	23.47	派岸光伏电站	23.68	19.18	19.67	
2026/1/30	16:30:00	24.96	38.62	19.52	派岸光伏电站	26.24	26.03	16.82	
2026/1/30	16:45:00	18.92	18.91	17.76	派岸光伏电站	28.09	22.2	26.87	
2026/1/30	17:00:00	13.5	13.97	14.48	派岸光伏电站	32.94	21.25	17.82	
2026/1/30	17:15:00	11.78	11.13	11.32	派岸光伏电站	11.12	11.12	17.38	
2026/1/30	17:30:00	5.98	8.08	8.02	派岸光伏电站	6.14	5.82	6.78	
2026/1/30	17:45:00	0.72	5.2	5.12	派岸光伏电站	1.15	2.3	1.56	
2026/1/30	18:00:00	1.06	2.88	3.76	派岸光伏电站	0.7	0	0	
2026/1/30	18:15:00	0	0	1.72	派岸光伏电站	0	0	0	
2026/1/30	18:30:00	0	0	1.97	派岸光伏电站	0	0	0	
2026/1/30	18:45:00	0.28	0	2.3	派岸光伏电站	0	0	0	
2026/1/30	19:00:00	0.27	0	0	派岸光伏电站	0	0	0	
2026/1/30	19:15:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	19:30:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	19:45:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	20:00:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	20:15:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	20:30:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	20:45:00	0	0	0	派岸光伏电站	0	0	0	
2026/1/30	21:00:00	--	--	0	派岸光伏电站	0	0	0	
2026/1/30	21:15:00	--	--	0	派岸光伏电站	0	0	0	
2026/1/30	21:30:00	--	--	0	派岸光伏电站	0	--	0	
2026/1/30	21:45:00	--	--	0	派岸光伏电站	0	--	--	
2026/1/30	22:00:00	--	--	0	派岸光伏电站	0	--	--	
2026/1/30	22:15:00	--	--	0	派岸光伏电站	0	--	--	
2026/1/30	22:30:00	--	--	0	派岸光伏电站	0	--	--	
2026/1/30	22:45:00	--	--	0	派岸光伏电站	0	--	--	
2026/1/30	23:00:00	--	--	0	派岸光伏电站	0	--	--	
2026/1/30	23:15:00	--	--	0	派岸光伏电站	0	--	--	
2026/1/30	23:30:00	--	--	0	派岸光伏电站	0	--	--	
2026/1/30	23:45:00	--	--	0	派岸光伏电站	0	--	--	
2026/1/30	0:00				派岸光伏电站				0
2026/1/30	1:00				派岸光伏电站				0
2026/1/30	2:00				派岸光伏电站				0
2026/1/30	3:00				派岸光伏电站				0
2026/1/30	4:00				派岸光伏电站				0
2026/1/30	5:00				派岸光伏电站				0
2026/1/30	6:00				派岸光伏电站				0
2026/1/30	7:00				派岸光伏电站				0
2026/1/30	8:00				派岸光伏电站				5
2026/1/30	9:00				派岸光伏电站				82
2026/1/30	10:00				派岸光伏电站				210
2026/1/30	11:00				派岸光伏电站				403
2026/1/30	12:00				派岸光伏电站				483
2026/1/30	13:00				派岸光伏电站				367
2026/1/30	14:00				派岸光伏电站				562
2026/1/30	15:00				派岸光伏电站				558
2026/1/30	16:00				派岸光伏电站				410
2026/1/30	17:00				派岸光伏电站				240
2026/1/30	18:00				派岸光伏电站				121
2026/1/30	19:00				派岸光伏电站				15
2026/1/30	20:00				派岸光伏电站				0
2026/1/30	21:00				派岸光伏电站				0
2026/1/30	22:00				派岸光伏电站				0
2026/1/30	23:00				派岸光伏电站				0
